sample	contig	phylum
ERR315859	k141_310489	Pseudomonadota
ERR315859	k141_698867	Pseudomonadota
ERR315859	k141_352856	Pseudomonadota
ERR315859	k141_742728	Pseudomonadota
ERR315859	k141_7161	Fusobacteriota
ERR315859	k141_656212	Pseudomonadota
ERR315859	k141_180632	Pseudomonadota
ERR315859	k141_93786	Pseudomonadota
ERR315859	k141_612925	Pseudomonadota
ERR315859	k141_310613	Cyanobacteriota
ERR315859	k141_50766	Pseudomonadota
ERR315859	k141_439691	Pseudomonadota
ERR315859	k141_310616	Actinomycetota
ERR315859	k141_267048	Pseudomonadota
ERR315859	k141_223344	Pseudomonadota
ERR315859	k141_93915	Bacillota
ERR315859	k141_7381	Pseudomonadota
ERR315859	k141_742892	Pseudomonadota
ERR315859	k141_829167	Pseudomonadota
ERR315859	k141_482887	Pseudomonadota
ERR315859	k141_439795	Pseudomonadota
ERR315859	k141_526744	Pseudomonadota
ERR315859	k141_439849	Planctomycetota
ERR315859	k141_267198	Pseudomonadota
ERR315859	k141_310847	Mycoplasmatota
ERR315859	k141_569614	Bacteroidota
ERR315859	k141_699293	Pseudomonadota
ERR315859	k141_613141	Cyanobacteriota
ERR315859	k141_137528	Cyanobacteriota
ERR315859	k141_569662	Pseudomonadota
ERR315859	k141_7640	Bacillota
ERR315859	k141_699356	Pseudomonadota
ERR315859	k141_699466	Pseudomonadota
ERR315859	k141_569812	Cyanobacteriota
ERR315859	k141_181319	Thermotogota
ERR315859	k141_786321	Cyanobacteriota
ERR315859	k141_829621	Pseudomonadota
ERR315859	k141_699523	Pseudomonadota
ERR315859	k141_440179	Bacillota
ERR315859	k141_483298	Pseudomonadota
ERR315859	k141_94421	Planctomycetota
ERR315859	k141_94471	Pseudomonadota
ERR315859	k141_657060	Bacillota
ERR315859	k141_527396	Pseudomonadota
ERR315859	k141_51570	Cyanobacteriota
ERR315859	k141_440434	Euryarchaeota
ERR315859	k141_353919	Pseudomonadota
ERR315859	k141_51729	Planctomycetota
ERR315859	k141_527533	Bacillota
ERR315859	k141_267978	Pseudomonadota
ERR315859	k141_94856	Pseudomonadota
ERR315859	k141_743906	Pseudomonadota
ERR315859	k141_830107	Cyanobacteriota
ERR315859	k141_8253	Planctomycetota
ERR315859	k141_311609	Bacillota
ERR315859	k141_786839	Pseudomonadota
ERR315859	k141_138306	Pseudomonadota
ERR315859	k141_700104	Bacillota
ERR315859	k141_700111	Pseudomonadota
ERR315859	k141_51920	Bacillota
ERR315859	k141_398444	Pseudomonadota
ERR315859	k141_830278	Bacillota
ERR315859	k141_8349	Bacillota
ERR315859	k141_398447	Bacteroidota
ERR315859	k141_224521	Bacillota
ERR315859	k141_95024	Planctomycetota
ERR315859	k141_311773	Pseudomonadota
ERR315859	k141_8394	Bacillota
ERR315859	k141_182127	Cyanobacteriota
ERR315859	k141_8422	Cyanobacteriota
ERR315859	k141_182132	Pseudomonadota
ERR315859	k141_138551	Pseudomonadota
ERR315859	k141_700318	Pseudomonadota
ERR315859	k141_52202	Pseudomonadota
ERR315859	k141_138561	Pseudomonadota
ERR315859	k141_657739	Bacteroidota
ERR315859	k141_830568	Pseudomonadota
ERR315859	k141_8548	Pseudomonadota
ERR315859	k141_528000	Pseudomonadota
ERR315859	k141_787274	Pseudomonadota
ERR315859	k141_182432	Bacteroidota
ERR315859	k141_744489	Bacteroidota
ERR315859	k141_312180	Pseudomonadota
ERR315859	k141_787338	Cyanobacteriota
ERR315859	k141_657947	Pseudomonadota
ERR315859	k141_52477	Planctomycetota
ERR315859	k141_658012	Pseudomonadota
ERR315859	k141_787433	Bacillota
ERR315859	k141_225064	Cyanobacteriota
ERR315859	k141_700693	Pseudomonadota
ERR315859	k141_700706	Pseudomonadota
ERR315859	k141_787534	Bacillota
ERR315859	k141_831004	Bacillota
ERR315859	k141_571395	Cyanobacteriota
ERR315859	k141_312604	Bacillota
ERR315859	k141_831149	Pseudomonadota
ERR315859	k141_139260	Bacteroidota
ERR315859	k141_528620	Bacteroidota
ERR315859	k141_139299	Pseudomonadota
ERR315859	k141_658403	Pseudomonadota
ERR315859	k141_52859	Pseudomonadota
ERR315859	k141_484956	Cyanobacteriota
ERR315859	k141_139345	Cyanobacteriota
ERR315859	k141_269249	Pseudomonadota
ERR315859	k141_787909	Fusobacteriota
ERR315859	k141_528790	Pseudomonadota
ERR315859	k141_485013	Pseudomonadota
ERR315859	k141_787918	Pseudomonadota
ERR315859	k141_658600	Cyanobacteriota
ERR315859	k141_658632	Pseudomonadota
ERR315859	k141_139497	Cyanobacteriota
ERR315859	k141_442004	Pseudomonadota
ERR315859	k141_355366	Bacteroidota
ERR315859	k141_53124	Cyanobacteriota
ERR315859	k141_528912	Pseudomonadota
ERR315859	k141_399826	Bacteroidota
ERR315859	k141_571933	Pseudomonadota
ERR315859	k141_53228	Cyanobacteriota
ERR315859	k141_139659	Pseudomonadota
ERR315859	k141_615518	Pseudomonadota
ERR315859	k141_615546	Cyanobacteriota
ERR315859	k141_183448	Pseudomonadota
ERR315859	k141_442178	Pseudomonadota
ERR315859	k141_139847	Bacillota
ERR315859	k141_355683	Pseudomonadota
ERR315859	k141_745609	Pseudomonadota
ERR315859	k141_745637	Bacteroidota
