Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	kmer_content
SRR4289282_2_t	SRR4289282_2_t.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	35881894.0	0.0	15-150	65.0	95.7639738257658	149.6856401727289	pass	pass		pass	warn	warn	pass	warn	pass	pass	pass	pass
SRR4289282_2_up	SRR4289282_2_up.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	20647.0	0.0	15-150	64.0	99.16694919358746	135.28875865743208	pass	warn		pass	warn	fail	pass	warn	pass	pass	pass	warn
SRR4289291_1_t	SRR4289291_1_t.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	37268106.0	0.0	15-150	62.0	96.70910756736995	149.4813604962914	pass	pass		pass	pass	fail	pass	warn	pass	pass	pass	fail
SRR4289291_1_up	SRR4289291_1_up.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1107586.0	0.0	15-150	61.0	99.63084144333875	149.86558605832866	pass	pass		pass	pass	fail	pass	warn	pass	pass	pass	warn
SRR4289291_2_t	SRR4289291_2_t.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	37268106.0	0.0	15-150	62.0	97.29282156469593	149.4459072054802	pass	pass		pass	pass	fail	pass	warn	pass	pass	pass	pass
SRR4289291_2_up	SRR4289291_2_up.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	44669.0	0.0	15-150	60.0	98.74185676867626	143.19745237189102	pass	warn		warn	pass	fail	pass	warn	pass	pass	pass	warn
SRR4465034_1_t	SRR4465034_1_t.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	59247838.0	0.0	15-125	49.0	90.98988692638731	123.5289224730867	pass	pass	warn	pass	warn	fail	pass	warn	pass	pass	pass	fail
SRR4465034_1_up	SRR4465034_1_up.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	768255.0	0.0	15-125	57.0	97.84812996466681	122.58618557640366	pass	pass	warn	pass	fail	fail	pass	warn	pass	warn	pass	fail
SRR4465034_2_t	SRR4465034_2_t.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	59247838.0	0.0	15-125	49.0	91.36296089903983	123.52994193644669	pass	pass	pass	pass	warn	fail	pass	warn	pass	pass	pass	fail
SRR4465034_2_up	SRR4465034_2_up.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	178234.0	0.0	15-125	55.0	92.11803626857812	113.54529438827609	pass	pass	pass	pass	warn	fail	pass	warn	pass	pass	pass	fail
SRR5207236_1_t	SRR5207236_1_t.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	40991678.0	0.0	15-251	62.0	97.01783458805318	249.2753301292033	pass	fail		pass	pass	fail	pass	warn	pass	pass	pass	fail
SRR5207236_1_up	SRR5207236_1_up.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5467657.0	0.0	15-251	62.0	99.85500223964144	250.79746662967338	pass	fail		pass	warn	warn	pass	warn	pass	pass	pass	warn
SRR5207236_2_t	SRR5207236_2_t.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	40991678.0	0.0	31-251	62.0	97.02099617845901	249.29031702483613	pass	fail		pass	pass	fail	pass	warn	pass	pass	pass	fail
SRR5207236_2_up	SRR5207236_2_up.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	250742.0	0.0	33-251	62.0	99.48495739694594	250.43094894353558	pass	fail		warn	pass	fail	pass	warn	pass	pass	pass	warn
SRR5207629_1_t	SRR5207629_1_t.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	31258069.0	0.0	15-151	62.0	99.60044410700777	150.73560948374643	pass	pass		pass	pass	warn	pass	warn	pass	pass	pass	pass
SRR5207629_1_up	SRR5207629_1_up.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	604753.0	0.0	15-151	63.0	99.7020455850726	150.82813479222096	pass	fail		pass	pass	warn	pass	warn	pass	pass	pass	warn
SRR5207629_2_t	SRR5207629_2_t.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	31258069.0	0.0	15-151	62.0	99.62917340898578	150.73532232589287	pass	pass		pass	pass	warn	pass	warn	pass	pass	pass	pass
